timestamp,kWh
2024-09-01 00:00:00,8.582
2024-09-01 01:00:00,9.057
2024-09-01 02:00:00,7.623
2024-09-01 03:00:00,6.93
2024-09-01 04:00:00,6.917
2024-09-01 05:00:00,8.745
2024-09-01 06:00:00,9.363
2024-09-01 07:00:00,6.237
2024-09-01 08:00:00,8.985
2024-09-01 09:00:00,9.184
2024-09-01 10:00:00,10.428
2024-09-01 11:00:00,10.921
2024-09-01 12:00:00,10.931
2024-09-01 13:00:00,9.728
2024-09-01 14:00:00,9.71
2024-09-01 15:00:00,9.548
2024-09-01 16:00:00,9.093
2024-09-01 17:00:00,9.901
2024-09-01 18:00:00,9.867
2024-09-01 19:00:00,11.663
2024-09-01 20:00:00,9.982
2024-09-01 21:00:00,8.946
2024-09-01 22:00:00,8.285
2024-09-01 23:00:00,6.853
2024-09-02 00:00:00,8.601
2024-09-02 01:00:00,8.405
2024-09-02 02:00:00,8.8
2024-09-02 03:00:00,8.916
2024-09-02 04:00:00,8.4
2024-09-02 05:00:00,8.421
2024-09-02 06:00:00,8.77
2024-09-02 07:00:00,7.62
2024-09-02 08:00:00,9.997
2024-09-02 09:00:00,9.393
2024-09-02 10:00:00,9.409
2024-09-02 11:00:00,10.438
2024-09-02 12:00:00,10.477
2024-09-02 13:00:00,7.606
2024-09-02 14:00:00,10.655
2024-09-02 15:00:00,9.427
2024-09-02 16:00:00,9.056
2024-09-02 17:00:00,10.978
2024-09-02 18:00:00,9.107
2024-09-02 19:00:00,10.79
2024-09-02 20:00:00,9.755
2024-09-02 21:00:00,9.437
2024-09-02 22:00:00,9.405
2024-09-02 23:00:00,8.888
2024-09-03 00:00:00,7.112
2024-09-03 01:00:00,7.274
2024-09-03 02:00:00,7.287
2024-09-03 03:00:00,6.76
2024-09-03 04:00:00,6.42
2024-09-03 05:00:00,8.356
2024-09-03 06:00:00,7.825
2024-09-03 07:00:00,7.787
2024-09-03 08:00:00,9.962
2024-09-03 09:00:00,9.537
2024-09-03 10:00:00,10.963
2024-09-03 11:00:00,10.871
2024-09-03 12:00:00,8.04
2024-09-03 13:00:00,10.753
2024-09-03 14:00:00,10.684
2024-09-03 15:00:00,11.204
2024-09-03 16:00:00,9.7
2024-09-03 17:00:00,10.948
2024-09-03 18:00:00,10.864
2024-09-03 19:00:00,11.333
2024-09-03 20:00:00,11.98
2024-09-03 21:00:00,7.777
2024-09-03 22:00:00,6.532
2024-09-03 23:00:00,8.491
2024-09-04 00:00:00,7.221
2024-09-04 01:00:00,8.117
2024-09-04 02:00:00,8.459
2024-09-04 03:00:00,8.808
2024-09-04 04:00:00,8.601
2024-09-04 05:00:00,7.185
2024-09-04 06:00:00,8.253
2024-09-04 07:00:00,8.238
2024-09-04 08:00:00,9.995
2024-09-04 09:00:00,11.38
2024-09-04 10:00:00,11.939
2024-09-04 11:00:00,8.476
2024-09-04 12:00:00,11.332
2024-09-04 13:00:00,10.324
2024-09-04 14:00:00,10.403
2024-09-04 15:00:00,9.661
2024-09-04 16:00:00,10.219
2024-09-04 17:00:00,10.632
2024-09-04 18:00:00,8.985
2024-09-04 19:00:00,11.137
2024-09-04 20:00:00,10.769
2024-09-04 21:00:00,8.354
2024-09-04 22:00:00,9.419
2024-09-04 23:00:00,8.162
2024-09-05 00:00:00,8.189
2024-09-05 01:00:00,9.882
2024-09-05 02:00:00,7.985
2024-09-05 03:00:00,6.974
2024-09-05 04:00:00,7.86
2024-09-05 05:00:00,7.935
2024-09-05 06:00:00,8.775
2024-09-05 07:00:00,8.109
2024-09-05 08:00:00,9.744
2024-09-05 09:00:00,9.582
2024-09-05 10:00:00,10.052
2024-09-05 11:00:00,10.171
2024-09-05 12:00:00,8.209
2024-09-05 13:00:00,9.309
2024-09-05 14:00:00,9.24
2024-09-05 15:00:00,10.206
2024-09-05 16:00:00,8.601
2024-09-05 17:00:00,10.968
2024-09-05 18:00:00,10.247
2024-09-05 19:00:00,9.664
2024-09-05 20:00:00,9.641
2024-09-05 21:00:00,9.354
2024-09-05 22:00:00,8.146
2024-09-05 23:00:00,7.139
2024-09-06 00:00:00,7.967
2024-09-06 01:00:00,8.431
2024-09-06 02:00:00,7.369
2024-09-06 03:00:00,7.304
2024-09-06 04:00:00,8.885
2024-09-06 05:00:00,9.005
2024-09-06 06:00:00,8.038
2024-09-06 07:00:00,7.125
2024-09-06 08:00:00,9.513
2024-09-06 09:00:00,9.674
2024-09-06 10:00:00,9.186
2024-09-06 11:00:00,10.804
2024-09-06 12:00:00,9.55
2024-09-06 13:00:00,9.292
2024-09-06 14:00:00,10.537
2024-09-06 15:00:00,11.024
2024-09-06 16:00:00,9.046
2024-09-06 17:00:00,9.163
2024-09-06 18:00:00,9.419
2024-09-06 19:00:00,10.698
2024-09-06 20:00:00,9.875
2024-09-06 21:00:00,5.257
2024-09-06 22:00:00,8.715
2024-09-06 23:00:00,7.883
2024-09-07 00:00:00,8.897
2024-09-07 01:00:00,7.886
2024-09-07 02:00:00,7.889
2024-09-07 03:00:00,7.908
2024-09-07 04:00:00,8.048
2024-09-07 05:00:00,7.388
2024-09-07 06:00:00,8.455
2024-09-07 07:00:00,7.661
2024-09-07 08:00:00,9.841
2024-09-07 09:00:00,8.614
2024-09-07 10:00:00,9.506
2024-09-07 11:00:00,9.328
2024-09-07 12:00:00,10.175
2024-09-07 13:00:00,10.825
2024-09-07 14:00:00,11.841
2024-09-07 15:00:00,9.958
2024-09-07 16:00:00,9.368
2024-09-07 17:00:00,10.177
2024-09-07 18:00:00,9.997
2024-09-07 19:00:00,9.927
2024-09-07 20:00:00,9.021
2024-09-07 21:00:00,8.453
2024-09-07 22:00:00,9.903
2024-09-07 23:00:00,8.034
2024-09-08 00:00:00,8.904
2024-09-08 01:00:00,8.622
2024-09-08 02:00:00,9.747
2024-09-08 03:00:00,6.949
2024-09-08 04:00:00,9.274
2024-09-08 05:00:00,9.934
2024-09-08 06:00:00,8.164
2024-09-08 07:00:00,8.207
2024-09-08 08:00:00,11.313
2024-09-08 09:00:00,10.933
2024-09-08 10:00:00,9.774
2024-09-08 11:00:00,10.699
2024-09-08 12:00:00,9.722
2024-09-08 13:00:00,10.281
2024-09-08 14:00:00,9.768
2024-09-08 15:00:00,9.816
2024-09-08 16:00:00,9.913
2024-09-08 17:00:00,9.503
2024-09-08 18:00:00,9.832
2024-09-08 19:00:00,9.73
2024-09-08 20:00:00,9.585
2024-09-08 21:00:00,8.233
2024-09-08 22:00:00,6.483
2024-09-08 23:00:00,8.041
2024-09-09 00:00:00,7.297
2024-09-09 01:00:00,6.913
2024-09-09 02:00:00,7.205
2024-09-09 03:00:00,7.639
2024-09-09 04:00:00,8.392
2024-09-09 05:00:00,8.945
2024-09-09 06:00:00,8.661
2024-09-09 07:00:00,8.911
2024-09-09 08:00:00,8.835
2024-09-09 09:00:00,9.659
2024-09-09 10:00:00,9.987
2024-09-09 11:00:00,10.361
2024-09-09 12:00:00,8.504
2024-09-09 13:00:00,9.43
2024-09-09 14:00:00,9.837
2024-09-09 15:00:00,9.391
2024-09-09 16:00:00,10.504
2024-09-09 17:00:00,8.992
2024-09-09 18:00:00,9.396
2024-09-09 19:00:00,9.822
2024-09-09 20:00:00,9.765
2024-09-09 21:00:00,8.984
2024-09-09 22:00:00,7.492
2024-09-09 23:00:00,6.723
2024-09-10 00:00:00,8.477
2024-09-10 01:00:00,7.58
2024-09-10 02:00:00,7.846
2024-09-10 03:00:00,8.91
2024-09-10 04:00:00,7.269
2024-09-10 05:00:00,6.796
2024-09-10 06:00:00,6.875
2024-09-10 07:00:00,8.027
2024-09-10 08:00:00,8.203
2024-09-10 09:00:00,10.519
2024-09-10 10:00:00,10.133
2024-09-10 11:00:00,9.947
2024-09-10 12:00:00,9.482
2024-09-10 13:00:00,9.169
2024-09-10 14:00:00,10.931
2024-09-10 15:00:00,10.992
2024-09-10 16:00:00,9.991
2024-09-10 17:00:00,11.267
2024-09-10 18:00:00,9.176
2024-09-10 19:00:00,10.538
2024-09-10 20:00:00,9.9
2024-09-10 21:00:00,9.235
2024-09-10 22:00:00,8.229
2024-09-10 23:00:00,8.681
2024-09-11 00:00:00,8.451
2024-09-11 01:00:00,8.297
2024-09-11 02:00:00,8.051
2024-09-11 03:00:00,7.045
2024-09-11 04:00:00,9.507
2024-09-11 05:00:00,8.028
2024-09-11 06:00:00,9.327
2024-09-11 07:00:00,8.338
2024-09-11 08:00:00,11.029
