timestamp,kWh
2024-09-01 00:00:00,3.238
2024-09-01 01:00:00,2.553
2024-09-01 02:00:00,3.693
2024-09-01 03:00:00,4.508
2024-09-01 04:00:00,4.17
2024-09-01 05:00:00,4.461
2024-09-01 06:00:00,3.82
2024-09-01 07:00:00,3.867
2024-09-01 08:00:00,5.5
2024-09-01 09:00:00,6.787
2024-09-01 10:00:00,7.127
2024-09-01 11:00:00,7.49
2024-09-01 12:00:00,7.043
2024-09-01 13:00:00,5.673
2024-09-01 14:00:00,5.996
2024-09-01 15:00:00,6.256
2024-09-01 16:00:00,6.181
2024-09-01 17:00:00,7.093
2024-09-01 18:00:00,6.123
2024-09-01 19:00:00,6.261
2024-09-01 20:00:00,6.388
2024-09-01 21:00:00,4.049
2024-09-01 22:00:00,4.173
2024-09-01 23:00:00,3.442
2024-09-02 00:00:00,4.167
2024-09-02 01:00:00,3.971
2024-09-02 02:00:00,5.497
2024-09-02 03:00:00,5.209
2024-09-02 04:00:00,3.567
2024-09-02 05:00:00,4.494
2024-09-02 06:00:00,5.13
2024-09-02 07:00:00,3.327
2024-09-02 08:00:00,3.723
2024-09-02 09:00:00,6.485
2024-09-02 10:00:00,5.842
2024-09-02 11:00:00,6.739
2024-09-02 12:00:00,7.088
2024-09-02 13:00:00,7.631
2024-09-02 14:00:00,5.735
2024-09-02 15:00:00,5.216
2024-09-02 16:00:00,5.35
2024-09-02 17:00:00,5.591
2024-09-02 18:00:00,6.399
2024-09-02 19:00:00,4.933
2024-09-02 20:00:00,6.597
2024-09-02 21:00:00,4.792
2024-09-02 22:00:00,4.247
2024-09-02 23:00:00,4.205
2024-09-03 00:00:00,3.335
2024-09-03 01:00:00,4.282
2024-09-03 02:00:00,4.029
2024-09-03 03:00:00,4.223
2024-09-03 04:00:00,4.204
2024-09-03 05:00:00,4.223
2024-09-03 06:00:00,6.05
2024-09-03 07:00:00,3.872
2024-09-03 08:00:00,5.247
2024-09-03 09:00:00,5.23
2024-09-03 10:00:00,5.688
2024-09-03 11:00:00,5.885
2024-09-03 12:00:00,5.871
2024-09-03 13:00:00,6.623
2024-09-03 14:00:00,5.236
2024-09-03 15:00:00,6.033
2024-09-03 16:00:00,5.298
2024-09-03 17:00:00,6.383
2024-09-03 18:00:00,5.381
2024-09-03 19:00:00,5.595
2024-09-03 20:00:00,6.162
2024-09-03 21:00:00,3.355
2024-09-03 22:00:00,3.523
2024-09-03 23:00:00,4.511
2024-09-04 00:00:00,2.582
2024-09-04 01:00:00,3.719
2024-09-04 02:00:00,4.211
2024-09-04 03:00:00,4.367
2024-09-04 04:00:00,4.742
2024-09-04 05:00:00,3.616
2024-09-04 06:00:00,3.607
2024-09-04 07:00:00,4.711
2024-09-04 08:00:00,5.821
2024-09-04 09:00:00,6.625
2024-09-04 10:00:00,5.224
2024-09-04 11:00:00,4.904
2024-09-04 12:00:00,5.833
2024-09-04 13:00:00,5.877
2024-09-04 14:00:00,5.75
2024-09-04 15:00:00,4.933
2024-09-04 16:00:00,4.906
2024-09-04 17:00:00,8.01
2024-09-04 18:00:00,6.027
2024-09-04 19:00:00,6.6
2024-09-04 20:00:00,7.487
2024-09-04 21:00:00,2.732
2024-09-04 22:00:00,2.424
2024-09-04 23:00:00,3.556
2024-09-05 00:00:00,3.943
2024-09-05 01:00:00,4.769
2024-09-05 02:00:00,3.17
2024-09-05 03:00:00,4.981
2024-09-05 04:00:00,4.813
2024-09-05 05:00:00,3.751
2024-09-05 06:00:00,3.778
2024-09-05 07:00:00,4.428
2024-09-05 08:00:00,5.412
2024-09-05 09:00:00,6.815
2024-09-05 10:00:00,6.679
2024-09-05 11:00:00,7.463
2024-09-05 12:00:00,5.253
2024-09-05 13:00:00,5.786
2024-09-05 14:00:00,7.03
2024-09-05 15:00:00,6.623
2024-09-05 16:00:00,6.488
2024-09-05 17:00:00,5.524
2024-09-05 18:00:00,6.704
2024-09-05 19:00:00,5.596
2024-09-05 20:00:00,5.533
2024-09-05 21:00:00,5.229
2024-09-05 22:00:00,4.628
2024-09-05 23:00:00,4.032
2024-09-06 00:00:00,4.267
2024-09-06 01:00:00,6.209
2024-09-06 02:00:00,4.636
2024-09-06 03:00:00,4.26
2024-09-06 04:00:00,3.676
2024-09-06 05:00:00,5.121
2024-09-06 06:00:00,3.445
2024-09-06 07:00:00,3.809
2024-09-06 08:00:00,6.802
2024-09-06 09:00:00,7.364
2024-09-06 10:00:00,5.796
2024-09-06 11:00:00,6.57
2024-09-06 12:00:00,6.485
2024-09-06 13:00:00,5.03
2024-09-06 14:00:00,7.996
2024-09-06 15:00:00,6.519
2024-09-06 16:00:00,6.884
2024-09-06 17:00:00,7.176
2024-09-06 18:00:00,6.904
2024-09-06 19:00:00,4.908
2024-09-06 20:00:00,6.099
2024-09-06 21:00:00,4.585
2024-09-06 22:00:00,3.964
2024-09-06 23:00:00,3.832
2024-09-07 00:00:00,2.471
2024-09-07 01:00:00,4.059
2024-09-07 02:00:00,3.819
2024-09-07 03:00:00,2.753
2024-09-07 04:00:00,3.504
2024-09-07 05:00:00,3.954
2024-09-07 06:00:00,4.765
2024-09-07 07:00:00,4.28
2024-09-07 08:00:00,6.024
2024-09-07 09:00:00,5.907
2024-09-07 10:00:00,5.174
2024-09-07 11:00:00,4.405
2024-09-07 12:00:00,6.774
2024-09-07 13:00:00,6.216
2024-09-07 14:00:00,6.536
2024-09-07 15:00:00,6.775
2024-09-07 16:00:00,4.35
2024-09-07 17:00:00,6.493
2024-09-07 18:00:00,6.929
2024-09-07 19:00:00,4.955
2024-09-07 20:00:00,5.446
2024-09-07 21:00:00,3.917
2024-09-07 22:00:00,4.108
2024-09-07 23:00:00,3.237
2024-09-08 00:00:00,3.891
2024-09-08 01:00:00,3.567
2024-09-08 02:00:00,3.11
2024-09-08 03:00:00,3.34
2024-09-08 04:00:00,3.584
2024-09-08 05:00:00,4.586
2024-09-08 06:00:00,2.949
2024-09-08 07:00:00,3.772
2024-09-08 08:00:00,5.727
2024-09-08 09:00:00,5.616
2024-09-08 10:00:00,6.205
2024-09-08 11:00:00,5.844
2024-09-08 12:00:00,6.396
2024-09-08 13:00:00,5.093
2024-09-08 14:00:00,5.545
2024-09-08 15:00:00,4.834
2024-09-08 16:00:00,6.648
2024-09-08 17:00:00,5.658
2024-09-08 18:00:00,6.876
2024-09-08 19:00:00,5.786
2024-09-08 20:00:00,5.653
2024-09-08 21:00:00,4.119
2024-09-08 22:00:00,4.105
2024-09-08 23:00:00,4.689
2024-09-09 00:00:00,3.611
2024-09-09 01:00:00,2.313
2024-09-09 02:00:00,4.061
2024-09-09 03:00:00,2.557
2024-09-09 04:00:00,5.584
2024-09-09 05:00:00,4.352
2024-09-09 06:00:00,4.008
2024-09-09 07:00:00,4.249
2024-09-09 08:00:00,5.692
2024-09-09 09:00:00,7.747
2024-09-09 10:00:00,5.964
2024-09-09 11:00:00,4.87
2024-09-09 12:00:00,4.738
2024-09-09 13:00:00,6.373
2024-09-09 14:00:00,5.431
2024-09-09 15:00:00,5.714
2024-09-09 16:00:00,6.061
2024-09-09 17:00:00,5.371
2024-09-09 18:00:00,6.844
2024-09-09 19:00:00,6.34
2024-09-09 20:00:00,5.691
2024-09-09 21:00:00,4.482
2024-09-09 22:00:00,4.267
2024-09-09 23:00:00,4.384
2024-09-10 00:00:00,2.703
2024-09-10 01:00:00,5.741
2024-09-10 02:00:00,3.928
2024-09-10 03:00:00,4.279
2024-09-10 04:00:00,3.238
2024-09-10 05:00:00,3.268
2024-09-10 06:00:00,3.707
2024-09-10 07:00:00,3.343
2024-09-10 08:00:00,6.579
2024-09-10 09:00:00,6.828
2024-09-10 10:00:00,7.429
2024-09-10 11:00:00,5.202
2024-09-10 12:00:00,4.228
2024-09-10 13:00:00,5.969
2024-09-10 14:00:00,5.647
2024-09-10 15:00:00,5.38
2024-09-10 16:00:00,5.239
2024-09-10 17:00:00,5.551
2024-09-10 18:00:00,6.544
2024-09-10 19:00:00,6.564
2024-09-10 20:00:00,6.356
2024-09-10 21:00:00,5.079
2024-09-10 22:00:00,4.523
2024-09-10 23:00:00,5.433
2024-09-11 00:00:00,3.327
2024-09-11 01:00:00,4.292
2024-09-11 02:00:00,3.647
2024-09-11 03:00:00,4.199
2024-09-11 04:00:00,3.233
2024-09-11 05:00:00,3.606
2024-09-11 06:00:00,2.893
2024-09-11 07:00:00,3.017
2024-09-11 08:00:00,6.426
2024-09-11 09:00:00,6.701
2024-09-11 10:00:00,5.832
2024-09-11 11:00:00,5.181
2024-09-11 12:00:00,5.887
2024-09-11 13:00:00,5.347
2024-09-11 14:00:00,6.874
2024-09-11 15:00:00,5.596
2024-09-11 16:00:00,6.111
2024-09-11 17:00:00,7.002
2024-09-11 18:00:00,7.085
2024-09-11 19:00:00,4.86
2024-09-11 20:00:00,5.792
2024-09-11 21:00:00,4.03
2024-09-11 22:00:00,2.982
2024-09-11 23:00:00,4.196
2024-09-12 00:00:00,3.669
2024-09-12 01:00:00,5.859
2024-09-12 02:00:00,3.678
2024-09-12 03:00:00,4.48
2024-09-12 04:00:00,4.604
2024-09-12 05:00:00,5.026
2024-09-12 06:00:00,4.517
2024-09-12 07:00:00,3.763
2024-09-12 08:00:00,6.706
2024-09-12 09:00:00,7.009
2024-09-12 10:00:00,4.606
2024-09-12 11:00:00,7.001
2024-09-12 12:00:00,5.533
2024-09-12 13:00:00,5.546
2024-09-12 14:00:00,4.857
2024-09-12 15:00:00,5.414
2024-09-12 16:00:00,6.045
2024-09-12 17:00:00,4.906
2024-09-12 18:00:00,5.392
2024-09-12 19:00:00,4.405
2024-09-12 20:00:00,6.881
2024-09-12 21:00:00,3.53
2024-09-12 22:00:00,5.075
2024-09-12 23:00:00,4.51
2024-09-13 00:00:00,4.188
2024-09-13 01:00:00,3.272
2024-09-13 02:00:00,4.707
2024-09-13 03:00:00,3.8
2024-09-13 04:00:00,3.79
2024-09-13 05:00:00,4.214
2024-09-13 06:00:00,4.278
2024-09-13 07:00:00,3.81
2024-09-13 08:00:00,5.665
2024-09-13 09:00:00,4.502
2024-09-13 10:00:00,5.375
2024-09-13 11:00:00,4.79
2024-09-13 12:00:00,4.835
2024-09-13 13:00:00,6.537
2024-09-13 14:00:00,5.363
2024-09-13 15:00:00,5.947
2024-09-13 16:00:00,5.556
2024-09-13 17:00:00,5.069
2024-09-13 18:00:00,5.24
2024-09-13 19:00:00,6.265
2024-09-13 20:00:00,7.327
2024-09-13 21:00:00,4.106
2024-09-13 22:00:00,4.654
2024-09-13 23:00:00,4.598
2024-09-14 00:00:00,4.002
2024-09-14 01:00:00,2.926
2024-09-14 02:00:00,3.622
2024-09-14 03:00:00,4.596
2024-09-14 04:00:00,3.513
2024-09-14 05:00:00,4.11
2024-09-14 06:00:00,4.131
2024-09-14 07:00:00,4.6
2024-09-14 08:00:00,6.804
2024-09-14 09:00:00,5.366
2024-09-14 10:00:00,6.39
2024-09-14 11:00:00,3.983
2024-09-14 12:00:00,4.838
2024-09-14 13:00:00,5.85
2024-09-14 14:00:00,6.266
2024-09-14 15:00:00,6.481
2024-09-14 16:00:00,7.318
2024-09-14 17:00:00,5.075
2024-09-14 18:00:00,5.32
2024-09-14 19:00:00,6.806
2024-09-14 20:00:00,6.114
2024-09-14 21:00:00,3.938
2024-09-14 22:00:00,2.712
2024-09-14 23:00:00,4.519
2024-09-15 00:00:00,3.95
2024-09-15 01:00:00,4.404
2024-09-15 02:00:00,2.044
2024-09-15 03:00:00,4.84
2024-09-15 04:00:00,4.372
2024-09-15 05:00:00,3.909
2024-09-15 06:00:00,3.969
2024-09-15 07:00:00,3.538
2024-09-15 08:00:00,4.861
2024-09-15 09:00:00,5.664
2024-09-15 10:00:00,5.445
2024-09-15 11:00:00,6.644
2024-09-15 12:00:00,5.438
2024-09-15 13:00:00,4.981
2024-09-15 14:00:00,6.174
2024-09-15 15:00:00,5.594
2024-09-15 16:00:00,4.865
2024-09-15 17:00:00,6.935
2024-09-15 18:00:00,5.671
2024-09-15 19:00:00,5.262
2024-09-15 20:00:00,5.593
2024-09-15 21:00:00,5.732
2024-09-15 22:00:00,2.771
2024-09-15 23:00:00,3.904
2024-09-16 00:00:00,4.21
2024-09-16 01:00:00,4.078
2024-09-16 02:00:00,4.463
2024-09-16 03:00:00,3.43
2024-09-16 04:00:00,3.371
2024-09-16 05:00:00,4.766
2024-09-16 06:00:00,4.555
2024-09-16 07:00:00,4.609
2024-09-16 08:00:00,5.728
2024-09-16 09:00:00,6.899
2024-09-16 10:00:00,6.811
2024-09-16 11:00:00,6.618
2024-09-16 12:00:00,7.141
2024-09-16 13:00:00,5.73
2024-09-16 14:00:00,5.872
2024-09-16 15:00:00,5.785
2024-09-16 16:00:00,6.727
2024-09-16 17:00:00,6.008
2024-09-16 18:00:00,6.375
2024-09-16 19:00:00,6.447
2024-09-16 20:00:00,5.303
2024-09-16 21:00:00,4.006
2024-09-16 22:00:00,3.499
2024-09-16 23:00:00,3.276
2024-09-17 00:00:00,5.068
2024-09-17 01:00:00,3.257
2024-09-17 02:00:00,5.756
2024-09-17 03:00:00,3.953
2024-09-17 04:00:00,4.183
2024-09-17 05:00:00,4.153
2024-09-17 06:00:00,2.544
2024-09-17 07:00:00,3.959
2024-09-17 08:00:00,5.947
2024-09-17 09:00:00,6.483
2024-09-17 10:00:00,5.493
2024-09-17 11:00:00,5.445
2024-09-17 12:00:00,4.611
2024-09-17 13:00:00,6.73
2024-09-17 14:00:00,7.561
2024-09-17 15:00:00,5.559
2024-09-17 16:00:00,5.321
2024-09-17 17:00:00,7.45
2024-09-17 18:00:00,5.697
2024-09-17 19:00:00,6.774
2024-09-17 20:00:00,6.135
2024-09-17 21:00:00,4.194
2024-09-17 22:00:00,5.556
2024-09-17 23:00:00,4.724
2024-09-18 00:00:00,5.854
2024-09-18 01:00:00,4.217
2024-09-18 02:00:00,3.669
2024-09-18 03:00:00,3.655
2024-09-18 04:00:00,3.631
2024-09-18 05:00:00,3.957
2024-09-18 06:00:00,3.848
2024-09-18 07:00:00,3.747
2024-09-18 08:00:00,5.227
2024-09-18 09:00:00,5.843
2024-09-18 10:00:00,6.032
2024-09-18 11:00:00,4.127
2024-09-18 12:00:00,5.522
2024-09-18 13:00:00,5.581
2024-09-18 14:00:00,5.199
2024-09-18 15:00:00,6.481
2024-09-18 16:00:00,4.971
2024-09-18 17:00:00,5.871
2024-09-18 18:00:00,6.426
2024-09-18 19:00:00,5.877
2024-09-18 20:00:00,5.957
2024-09-18 21:00:00,4.473
2024-09-18 22:00:00,4.179
2024-09-18 23:00:00,3.651
2024-09-19 00:00:00,3.787
2024-09-19 01:00:00,4.908
2024-09-19 02:00:00,2.482
2024-09-19 03:00:00,4.875
2024-09-19 04:00:00,4.024
2024-09-19 05:00:00,4.277
2024-09-19 06:00:00,2.703
2024-09-19 07:00:00,5.236
2024-09-19 08:00:00,5.406
2024-09-19 09:00:00,5.68
2024-09-19 10:00:00,7.034
2024-09-19 11:00:00,4.991
2024-09-19 12:00:00,4.882
2024-09-19 13:00:00,5.036
2024-09-19 14:00:00,5.758
2024-09-19 15:00:00,5.961
2024-09-19 16:00:00,6.142
2024-09-19 17:00:00,5.233
2024-09-19 18:00:00,6.12
2024-09-19 19:00:00,6.235
2024-09-19 20:00:00,4.709
2024-09-19 21:00:00,3.395
2024-09-19 22:00:00,4.549
2024-09-19 23:00:00,4.018
2024-09-20 00:00:00,3.868
2024-09-20 01:00:00,3.576
2024-09-20 02:00:00,3.642
2024-09-20 03:00:00,3.961
2024-09-20 04:00:00,4.352
2024-09-20 05:00:00,4.035
2024-09-20 06:00:00,4.005
2024-09-20 07:00:00,3.791
2024-09-20 08:00:00,6.268
2024-09-20 09:00:00,5.956
2024-09-20 10:00:00,5.775
2024-09-20 11:00:00,6.28
2024-09-20 12:00:00,6.23
2024-09-20 13:00:00,7.225
2024-09-20 14:00:00,5.666
2024-09-20 15:00:00,6.567
2024-09-20 16:00:00,6.023
2024-09-20 17:00:00,4.094
2024-09-20 18:00:00,5.839
2024-09-20 19:00:00,6.334
2024-09-20 20:00:00,4.671
2024-09-20 21:00:00,3.48
2024-09-20 22:00:00,3.682
2024-09-20 23:00:00,4.401
2024-09-21 00:00:00,4.276
2024-09-21 01:00:00,4.441
2024-09-21 02:00:00,3.013
2024-09-21 03:00:00,4.248
2024-09-21 04:00:00,3.947
2024-09-21 05:00:00,3.563
2024-09-21 06:00:00,3.691
2024-09-21 07:00:00,4.62
2024-09-21 08:00:00,5.818
2024-09-21 09:00:00,5.923
2024-09-21 10:00:00,5.817
2024-09-21 11:00:00,5.807
2024-09-21 12:00:00,6.422
2024-09-21 13:00:00,5.691
2024-09-21 14:00:00,5.815
2024-09-21 15:00:00,6.345
2024-09-21 16:00:00,6.706
2024-09-21 17:00:00,4.638
2024-09-21 18:00:00,6.425
2024-09-21 19:00:00,6.93
2024-09-21 20:00:00,6.097
2024-09-21 21:00:00,4.254
2024-09-21 22:00:00,3.97
2024-09-21 23:00:00,3.708
2024-09-22 00:00:00,2.282
2024-09-22 01:00:00,3.228
2024-09-22 02:00:00,5.001
2024-09-22 03:00:00,2.069
2024-09-22 04:00:00,3.689
2024-09-22 05:00:00,3.559
2024-09-22 06:00:00,5.842
2024-09-22 07:00:00,2.546
2024-09-22 08:00:00,5.471
2024-09-22 09:00:00,6.488
2024-09-22 10:00:00,6.284
2024-09-22 11:00:00,6.623
2024-09-22 12:00:00,6.531
2024-09-22 13:00:00,5.245
2024-09-22 14:00:00,6.482
2024-09-22 15:00:00,5.796
2024-09-22 16:00:00,6.186
2024-09-22 17:00:00,6.343
2024-09-22 18:00:00,6.23
2024-09-22 19:00:00,5.518
2024-09-22 20:00:00,7.0
2024-09-22 21:00:00,2.893
2024-09-22 22:00:00,3.694
2024-09-22 23:00:00,3.06
2024-09-23 00:00:00,3.859
2024-09-23 01:00:00,5.034
2024-09-23 02:00:00,4.55
2024-09-23 03:00:00,4.045
2024-09-23 04:00:00,4.275
2024-09-23 05:00:00,2.718
2024-09-23 06:00:00,3.266
2024-09-23 07:00:00,3.351
2024-09-23 08:00:00,5.874
2024-09-23 09:00:00,5.417
2024-09-23 10:00:00,6.859
2024-09-23 11:00:00,6.955
2024-09-23 12:00:00,6.587
2024-09-23 13:00:00,6.193
2024-09-23 14:00:00,5.698
2024-09-23 15:00:00,6.093
2024-09-23 16:00:00,6.608
2024-09-23 17:00:00,5.71
2024-09-23 18:00:00,6.38
2024-09-23 19:00:00,4.252
2024-09-23 20:00:00,4.32
2024-09-23 21:00:00,4.339
2024-09-23 22:00:00,5.024
2024-09-23 23:00:00,2.415
2024-09-24 00:00:00,3.622
2024-09-24 01:00:00,4.123
2024-09-24 02:00:00,2.683
2024-09-24 03:00:00,3.209
2024-09-24 04:00:00,5.731
2024-09-24 05:00:00,2.979
2024-09-24 06:00:00,4.584
2024-09-24 07:00:00,2.869
2024-09-24 08:00:00,5.952
2024-09-24 09:00:00,5.863
2024-09-24 10:00:00,4.533
2024-09-24 11:00:00,6.496
